TriggerMethod,EventNumber,EventTime,Order,EventType,Channel ,Acceleration (m/s²),Duration (msec),DeltaV (m/s),Channel ,Acceleration (m/s²),Duration (msec),DeltaV (m/s),Channel ,Acceleration (m/s²),Duration (msec),DeltaV (m/s),Channel ,Acceleration (m/s²),Duration (msec),DeltaV (m/s),Channel ,Acceleration (m/s²),Duration (msec),DeltaV (m/s),Channel ,Acceleration (m/s²),Duration (msec),DeltaV (m/s),Channel ,Acceleration (m/s²),Duration (msec),DeltaV (m/s),Temperature (°C),RH (%RH),Pressure (mbar),Est. Altitude (m),GPSStatus,GPSFixTime,Lattitude,Longitude,Speed (km/h),Heading
0,1,01/18/2016 03:06:53 ,0,2,1,2.19E+01,2.28E+01,-1.61E-01,2,1.51E+01,8.00E+00,8.70E-02,3,1.29E+01,3.60E+00,2.94E-02,4,1.66E+01,3.12E+01,-3.63E-01,5,1.22E+01,9.20E+00,5.65E-02,6,5.05E+01,5.60E+00,1.72E-01,Resultant,2.67E+01,5.20E+00,1.20E-01,20.98828,50.36328,994.8,155,0,01/18/2016 03:15:21 ,41.5348053,0.416083336,91,75
0,3,01/25/2016 09:20:21 ,0,2,1,3.54E+00,2.80E+00,-7.80E-03,2,9.89E-01,0.00E+00,-3.96E-04,3,7.04E+00,3.60E+00,-1.77E-02,4,5.91E+00,3.20E+00,1.35E-02,5,6.85E+00,4.40E+00,-1.66E-02,6,5.26E+01,5.20E+00,1.76E-01,Resultant,7.09E+00,0.00E+00,2.83E-03,19.66797,55.35547,1011,19,,,,,,
1,1,01/17/2016 10:58:35 ,0,2,1,1.12E+00,0.00E+00,4.50E-04,2,3.61E-01,0.00E+00,-1.44E-04,3,3.63E-01,0.00E+00,1.45E-04,4,3.32E-01,0.00E+00,1.33E-04,5,4.44E-01,0.00E+00,1.78E-04,6,9.67E-01,0.00E+00,-3.87E-04,Resultant,1.15E+00,0.00E+00,4.58E-04,5.550781,54.49609,950.9,532,,,,,,
1,2,01/17/2016 11:00:35 ,0,2,1,3.88E-01,0.00E+00,-1.55E-04,2,3.70E-01,0.00E+00,1.48E-04,3,3.32E-01,0.00E+00,1.33E-04,4,3.04E-01,0.00E+00,-1.22E-04,5,3.12E-01,0.00E+00,1.25E-04,6,3.34E-01,0.00E+00,1.33E-04,Resultant,5.52E-01,0.00E+00,2.21E-04,5.550781,54.67188,950.8,533,,,,,,
1,3,01/17/2016 11:02:35 ,0,2,1,4.08E-01,0.00E+00,-1.63E-04,2,4.13E-01,0.00E+00,-1.65E-04,3,2.70E-01,0.00E+00,-1.08E-04,4,3.37E-01,0.00E+00,1.35E-04,5,3.39E-01,0.00E+00,1.36E-04,6,3.55E-01,0.00E+00,1.42E-04,Resultant,5.04E-01,0.00E+00,2.01E-04,5.589844,54.53125,950.8,533,0,01/17/2016 11:11:02 ,40.42277908,-3.692472219,0,0
1,4,01/17/2016 11:04:35 ,0,2,1,3.61E-01,0.00E+00,-1.44E-04,2,3.71E-01,0.00E+00,1.48E-04,3,3.89E-01,0.00E+00,1.56E-04,4,3.60E-01,0.00E+00,1.44E-04,5,3.92E-01,0.00E+00,-1.57E-04,6,3.13E-01,0.00E+00,1.25E-04,Resultant,5.02E-01,0.00E+00,2.01E-04,5.589844,55.08594,951,531,0,01/17/2016 11:13:02 ,40.42269516,-3.69227767,0,322
1,5,01/17/2016 11:06:35 ,0,2,1,4.43E-01,0.00E+00,-1.77E-04,2,4.36E-01,0.00E+00,-1.74E-04,3,2.71E-01,0.00E+00,-1.08E-04,4,3.94E-01,0.00E+00,1.58E-04,5,3.67E-01,0.00E+00,1.47E-04,6,4.53E-01,0.00E+00,1.81E-04,Resultant,5.19E-01,0.00E+00,2.08E-04,5.589844,54.08984,951.1,530,0,01/17/2016 11:15:02 ,40.42286301,-3.691999912,0,321
1,6,01/17/2016 11:08:35 ,0,2,1,4.16E-01,0.00E+00,-1.66E-04,2,3.25E-01,0.00E+00,-1.30E-04,3,3.11E-01,0.00E+00,-1.24E-04,4,3.29E-01,0.00E+00,1.32E-04,5,3.03E-01,0.00E+00,-1.21E-04,6,3.58E-01,0.00E+00,1.43E-04,Resultant,4.79E-01,0.00E+00,1.92E-04,5.628906,54.33203,950.9,532,0,01/17/2016 11:17:02 ,40.42286301,-3.691944361,0,337
1,7,01/17/2016 11:10:35 ,0,2,1,3.50E-01,0.00E+00,-1.40E-04,2,3.06E-01,0.00E+00,-1.22E-04,3,3.72E-01,0.00E+00,1.49E-04,4,4.10E-01,0.00E+00,1.64E-04,5,3.26E-01,0.00E+00,1.30E-04,6,3.56E-01,0.00E+00,-1.42E-04,Resultant,4.52E-01,0.00E+00,1.81E-04,5.671875,53.77734,950.9,532,0,01/17/2016 11:19:02 ,40.42286301,-3.691944361,0,337
1,8,01/17/2016 11:12:35 ,0,2,1,3.92E-01,0.00E+00,-1.57E-04,2,4.12E-01,0.00E+00,-1.65E-04,3,4.29E-01,0.00E+00,-1.71E-04,4,3.72E-01,0.00E+00,-1.49E-04,5,4.44E-01,0.00E+00,-1.78E-04,6,5.83E-01,0.00E+00,2.33E-04,Resultant,5.37E-01,0.00E+00,2.15E-04,5.710938,54.57813,950.9,532,0,01/17/2016 11:21:02 ,40.42283249,-3.691888809,0,12
1,9,01/17/2016 11:14:35 ,0,2,1,4.38E-01,0.00E+00,-1.75E-04,2,4.00E-01,0.00E+00,-1.60E-04,3,3.50E-01,0.00E+00,-1.40E-04,4,4.06E-01,0.00E+00,1.62E-04,5,3.55E-01,0.00E+00,-1.42E-04,6,4.93E-01,0.00E+00,-1.97E-04,Resultant,5.14E-01,0.00E+00,2.05E-04,5.671875,54.10156,950.9,532,0,01/17/2016 11:23:02 ,40.42283249,-3.691888809,0,56
1,10,01/17/2016 11:16:35 ,0,2,1,1.12E+00,0.00E+00,4.49E-04,2,4.34E-01,0.00E+00,1.73E-04,3,2.08E+00,1.60E+00,-3.49E-03,4,6.03E-01,0.00E+00,-2.41E-04,5,1.25E+00,0.00E+00,-5.02E-04,6,3.11E+00,3.60E+00,-8.67E-03,Resultant,2.22E+00,0.00E+00,8.86E-04,5.710938,53.92969,950.8,533,0,01/17/2016 11:25:02 ,40.42283249,-3.691888809,0,56
1,11,01/17/2016 11:18:35 ,0,2,1,3.96E-01,0.00E+00,1.58E-04,2,4.33E-01,0.00E+00,-1.73E-04,3,4.10E-01,0.00E+00,-1.64E-04,4,4.78E-01,0.00E+00,1.91E-04,5,5.45E-01,0.00E+00,2.18E-04,6,6.16E-01,0.00E+00,-2.46E-04,Resultant,5.56E-01,0.00E+00,2.23E-04,5.671875,53.57031,951,531,0,01/17/2016 11:27:02 ,40.42280579,-3.691944361,0,266
1,12,01/17/2016 11:20:35 ,0,2,1,3.77E-01,0.00E+00,-1.51E-04,2,3.38E-01,0.00E+00,1.35E-04,3,6.10E-01,0.00E+00,-2.44E-04,4,4.32E-01,0.00E+00,-1.73E-04,5,3.57E-01,0.00E+00,-1.43E-04,6,1.09E+00,0.00E+00,-4.36E-04,Resultant,6.89E-01,0.00E+00,2.76E-04,5.671875,53.77734,950.9,532,0,01/17/2016 11:29:02 ,40.42280579,-3.691944361,0,266
1,13,01/17/2016 11:22:35 ,0,2,1,3.41E-01,0.00E+00,1.36E-04,2,3.02E-01,0.00E+00,-1.21E-04,3,3.62E-01,0.00E+00,1.45E-04,4,4.09E-01,0.00E+00,-1.63E-04,5,4.58E-01,0.00E+00,-1.83E-04,6,3.63E-01,0.00E+00,-1.45E-04,Resultant,4.27E-01,0.00E+00,1.71E-04,5.671875,53.92578,951,531,0,01/17/2016 11:31:02 ,40.42280579,-3.691944361,0,266
1,14,01/17/2016 11:24:35 ,0,2,1,4.35E-01,0.00E+00,-1.74E-04,2,3.66E-01,0.00E+00,1.46E-04,3,3.38E-01,0.00E+00,-1.35E-04,4,4.27E-01,0.00E+00,-1.71E-04,5,3.80E-01,0.00E+00,-1.52E-04,6,3.20E-01,0.00E+00,-1.28E-04,Resultant,4.78E-01,0.00E+00,1.91E-04,5.710938,53.87109,950.9,532,0,01/17/2016 11:33:02 ,40.42277908,-3.691916704,0,266
1,15,01/17/2016 11:26:35 ,0,2,1,3.95E+00,4.00E+00,-1.13E-02,2,2.26E+00,2.80E+00,5.89E-03,3,2.82E+00,3.20E+00,-6.99E-03,4,1.80E+00,3.20E+00,5.73E-03,5,1.20E+00,0.00E+00,-4.78E-04,6,5.02E+00,6.40E+00,2.12E-02,Resultant,4.39E+00,0.00E+00,1.76E-03,5.75,54.34766,951.1,530,0,01/17/2016 11:35:02 ,40.42274857,-3.691888809,1,118
1,16,01/17/2016 11:28:35 ,0,2,1,8.75E-01,0.00E+00,3.50E-04,2,6.52E-01,0.00E+00,-2.61E-04,3,7.22E-01,0.00E+00,2.89E-04,4,4.77E-01,0.00E+00,-1.91E-04,5,4.30E-01,0.00E+00,1.72E-04,6,1.22E+00,0.00E+00,4.87E-04,Resultant,9.25E-01,0.00E+00,3.70E-04,5.992188,53.97266,950.9,532,0,01/17/2016 11:37:02 ,40.42277908,-3.691861153,0,140
1,17,01/17/2016 11:30:35 ,0,2,1,3.67E-01,0.00E+00,1.47E-04,2,5.08E-01,0.00E+00,-2.03E-04,3,4.97E-01,0.00E+00,-1.99E-04,4,6.61E-01,0.00E+00,-2.64E-04,5,5.54E-01,0.00E+00,2.22E-04,6,5.11E-01,0.00E+00,-2.05E-04,Resultant,6.80E-01,0.00E+00,2.72E-04,6.109375,54.22656,950.8,533,0,01/17/2016 11:39:02 ,40.42277908,-3.691861153,0,140
1,18,01/17/2016 11:32:35 ,0,2,1,7.19E-01,0.00E+00,-2.88E-04,2,5.73E-01,0.00E+00,-2.29E-04,3,1.28E+00,0.00E+00,-5.13E-04,4,7.90E-01,0.00E+00,-3.16E-04,5,7.71E-01,0.00E+00,3.09E-04,6,1.45E+00,0.00E+00,5.78E-04,Resultant,1.33E+00,0.00E+00,5.33E-04,6.230469,53.47656,950.9,532,0,01/17/2016 11:41:02 ,40.42274857,-3.691861153,0,204
1,19,01/17/2016 11:34:35 ,0,2,1,3.05E-01,0.00E+00,-1.22E-04,2,4.56E-01,0.00E+00,1.83E-04,3,3.16E-01,0.00E+00,-1.26E-04,4,6.01E-01,0.00E+00,-2.40E-04,5,4.40E-01,0.00E+00,1.76E-04,6,4.38E-01,0.00E+00,1.75E-04,Resultant,5.29E-01,0.00E+00,2.11E-04,6.308594,53.57422,950.6,535,0,01/17/2016 11:43:02 ,40.42283249,-3.691861153,0,12
1,20,01/17/2016 11:36:35 ,0,2,1,3.34E-01,0.00E+00,1.33E-04,2,4.01E-01,0.00E+00,1.61E-04,3,3.69E-01,0.00E+00,-1.48E-04,4,8.19E-01,0.00E+00,-3.27E-04,5,5.33E-01,0.00E+00,-2.13E-04,6,6.88E-01,0.00E+00,-2.75E-04,Resultant,4.55E-01,0.00E+00,1.82E-04,6.390625,54.32422,950.6,535,0,01/17/2016 11:45:02 ,40.42274857,-3.691583395,2,150
1,21,01/17/2016 11:38:35 ,0,2,1,3.46E-01,0.00E+00,1.39E-04,2,4.50E-01,0.00E+00,1.80E-04,3,3.34E-01,0.00E+00,1.34E-04,4,8.47E-01,0.00E+00,3.39E-04,5,5.66E-01,0.00E+00,2.26E-04,6,7.24E-01,0.00E+00,2.90E-04,Resultant,4.73E-01,0.00E+00,1.89E-04,6.46875,54.10156,950.7,534,0,01/17/2016 11:47:02 ,40.42286301,-3.691888809,1,261
1,22,01/17/2016 11:40:35 ,0,2,1,3.40E-01,0.00E+00,1.36E-04,2,6.19E-01,0.00E+00,2.47E-04,3,3.79E-01,0.00E+00,-1.52E-04,4,8.95E-01,0.00E+00,3.58E-04,5,6.27E-01,0.00E+00,-2.51E-04,6,7.09E-01,0.00E+00,2.83E-04,Resultant,6.76E-01,0.00E+00,2.70E-04,6.589844,54.08984,950.8,533,0,01/17/2016 11:49:02 ,40.42274857,-3.691861153,2,288
1,23,01/17/2016 11:42:35 ,0,2,1,1.56E+00,3.20E+00,5.44E-03,2,1.28E+00,0.00E+00,-5.14E-04,3,1.39E+00,0.00E+00,-5.58E-04,4,2.74E+00,1.40E+01,3.17E-02,5,2.90E+00,1.92E+01,-4.46E-02,6,2.84E+00,9.60E+00,2.10E-02,Resultant,1.67E+00,0.00E+00,6.68E-04,6.671875,53.95313,950.8,533,0,01/17/2016 11:51:02 ,40.42222214,-3.691611052,18,188
1,24,01/17/2016 11:44:35 ,0,2,1,2.72E-01,0.00E+00,-1.09E-04,2,3.65E-01,0.00E+00,1.46E-04,3,3.08E-01,0.00E+00,-1.23E-04,4,7.93E-01,0.00E+00,-3.17E-04,5,3.76E-01,0.00E+00,1.50E-04,6,5.68E-01,0.00E+00,2.27E-04,Resultant,4.66E-01,0.00E+00,1.86E-04,6.789063,54.03125,952.1,522,0,01/17/2016 11:53:02 ,40.41624832,-3.694583416,2,168
1,25,01/17/2016 11:46:35 ,0,2,1,3.91E-01,0.00E+00,-1.56E-04,2,4.77E-01,0.00E+00,-1.91E-04,3,3.29E-01,0.00E+00,-1.32E-04,4,6.31E-01,0.00E+00,-2.52E-04,5,4.82E-01,0.00E+00,-1.93E-04,6,5.10E-01,0.00E+00,-2.04E-04,Resultant,5.92E-01,0.00E+00,2.37E-04,6.871094,53.95313,953.7,508,0,01/17/2016 11:55:02 ,40.40961075,-3.692416668,0,177
1,26,01/17/2016 11:48:35 ,0,2,1,1.67E+00,3.20E+00,5.56E-03,2,2.20E+00,2.00E+01,3.71E-02,3,1.25E+00,0.00E+00,5.00E-04,4,4.48E+00,2.24E+01,6.85E-02,5,2.39E+00,9.60E+00,-1.99E-02,6,2.76E+00,1.20E+01,2.61E-02,Resultant,2.33E+00,0.00E+00,9.30E-04,6.949219,53.96484,953.5,509,0,01/17/2016 11:57:02 ,40.40833282,-3.691444397,25,116
1,27,01/17/2016 11:50:35 ,0,2,1,8.62E-01,0.00E+00,3.45E-04,2,7.93E-01,0.00E+00,3.17E-04,3,7.43E-01,0.00E+00,-2.97E-04,4,1.22E+00,0.00E+00,-4.87E-04,5,1.31E+00,0.00E+00,-5.25E-04,6,1.28E+00,0.00E+00,5.12E-04,Resultant,8.99E-01,0.00E+00,3.60E-04,7.03125,54.09375,953.2,512,0,01/17/2016 11:59:02 ,40.40674973,-3.688750029,10,31
1,28,01/17/2016 11:52:35 ,0,2,1,1.26E+00,0.00E+00,5.03E-04,2,1.23E+00,0.00E+00,-4.93E-04,3,1.37E+00,0.00E+00,5.48E-04,4,2.00E+00,9.20E+00,1.67E-02,5,1.86E+00,1.04E+01,-1.79E-02,6,2.05E+00,9.60E+00,1.77E-02,Resultant,1.83E+00,0.00E+00,7.31E-04,7.148438,53.99219,950.2,538,0,01/17/2016 12:01:02 ,40.41441727,-3.688833237,30,2
1,29,01/17/2016 11:54:35 ,0,2,1,9.39E-01,0.00E+00,-3.75E-04,2,1.57E+00,2.00E+00,3.56E-03,3,9.78E-01,0.00E+00,-3.91E-04,4,2.27E+00,1.76E+01,3.45E-02,5,1.54E+00,1.60E+00,-2.97E-03,6,2.27E+00,8.40E+00,-1.74E-02,Resultant,1.67E+00,0.00E+00,6.68E-04,7.230469,53.97656,949.5,544,0,01/17/2016 12:03:02 ,40.41991806,-3.68822217,21,48
1,30,01/17/2016 11:56:35 ,0,2,1,3.56E+00,1.08E+01,2.94E-02,2,3.62E+00,1.80E+01,4.99E-02,3,2.76E+00,5.20E+00,-1.18E-02,4,5.89E+00,3.80E+01,1.29E-01,5,2.97E+00,2.00E+01,-4.45E-02,6,6.79E+00,1.76E+01,7.52E-02,Resultant,3.71E+00,0.00E+00,1.49E-03,7.269531,53.74609,948.5,553,255,01/17/2016 12:03:56 ,40.42161179,-3.682111025,29,70
1,31,01/17/2016 11:58:35 ,0,2,1,1.42E+00,0.00E+00,5.69E-04,2,1.77E+00,4.40E+00,-7.71E-03,3,1.64E+00,2.00E+00,3.67E-03,4,2.70E+00,1.20E+01,2.50E-02,5,2.09E+00,1.12E+01,-2.17E-02,6,2.48E+00,5.20E+00,-1.12E-02,Resultant,2.09E+00,0.00E+00,8.34E-04,7.390625,53.96875,948.2,556,0,01/17/2016 12:07:02 ,40.41477966,-3.645611048,85,104
1,32,01/17/2016 12:00:35 ,0,2,1,2.35E+00,8.00E+00,1.59E-02,2,2.99E+00,1.68E+01,-3.76E-02,3,1.87E+00,3.60E+00,6.61E-03,4,4.19E+00,2.08E+01,6.56E-02,5,3.99E+00,1.76E+01,-5.06E-02,6,3.92E+00,1.20E+01,3.39E-02,Resultant,3.08E+00,0.00E+00,1.23E-03,7.429688,53.94531,943.8,595,0,01/17/2016 12:09:02 ,40.4141655,-3.617138863,64,3
1,33,01/17/2016 12:02:35 ,0,2,1,1.69E+00,4.40E+00,7.69E-03,2,1.64E+00,2.40E+00,4.34E-03,3,1.67E+00,2.00E+00,3.68E-03,4,2.58E+00,1.12E+01,-2.43E-02,5,1.91E+00,7.20E+00,-1.28E-02,6,2.80E+00,8.40E+00,-1.81E-02,Resultant,2.29E+00,0.00E+00,9.15E-04,7.550781,53.93359,947.9,559,0,01/17/2016 12:11:02 ,40.43055725,-3.596444368,90,18
1,34,01/17/2016 12:04:35 ,0,2,1,1.62E+00,3.20E+00,-5.52E-03,2,2.60E+00,3.88E+01,-7.51E-02,3,1.50E+00,8.00E-01,-1.73E-03,4,3.87E+00,1.44E+01,4.23E-02,5,1.56E+00,2.40E+00,4.24E-03,6,3.23E+00,1.16E+01,2.75E-02,Resultant,2.90E+00,0.00E+00,1.16E-03,7.628906,54.44922,953.1,513,0,01/17/2016 12:13:02 ,40.44038773,-3.572638988,80,92
1,35,01/17/2016 12:06:35 ,0,2,1,1.28E+00,0.00E+00,5.12E-04,2,1.87E+00,8.00E+00,1.39E-02,3,1.17E+00,0.00E+00,4.69E-04,4,2.65E+00,2.24E+01,4.88E-02,5,1.60E+00,2.80E+00,-4.83E-03,6,2.24E+00,1.12E+01,2.09E-02,Resultant,2.00E+00,0.00E+00,8.00E-04,7.710938,54.57813,956.6,482,0,01/17/2016 12:15:02 ,40.4315567,-3.553111076,40,149
1,36,01/17/2016 12:08:35 ,0,2,1,3.38E-01,0.00E+00,1.35E-04,2,3.63E-01,0.00E+00,1.45E-04,3,3.02E-01,0.00E+00,-1.21E-04,4,7.33E-01,0.00E+00,-2.93E-04,5,4.04E-01,0.00E+00,-1.62E-04,6,4.80E-01,0.00E+00,-1.92E-04,Resultant,5.03E-01,0.00E+00,2.01E-04,7.75,54.23047,956.4,484,0,01/17/2016 12:17:02 ,40.43094635,-3.553416729,1,300
1,37,01/17/2016 12:10:35 ,0,2,1,3.60E-01,0.00E+00,-1.44E-04,2,5.07E-01,0.00E+00,2.03E-04,3,5.75E-01,0.00E+00,-2.30E-04,4,6.23E-01,0.00E+00,2.49E-04,5,7.37E-01,0.00E+00,-2.95E-04,6,5.91E-01,0.00E+00,2.36E-04,Resultant,6.99E-01,0.00E+00,2.80E-04,7.832031,53.52734,956.5,483,0,01/17/2016 12:19:02 ,40.4307785,-3.553472281,2,195
1,38,01/17/2016 12:12:35 ,0,2,1,4.36E-01,0.00E+00,1.74E-04,2,5.17E-01,0.00E+00,-2.07E-04,3,3.38E-01,0.00E+00,1.35E-04,4,4.83E-01,0.00E+00,1.93E-04,5,4.15E-01,0.00E+00,1.66E-04,6,5.29E-01,0.00E+00,2.12E-04,Resultant,6.20E-01,0.00E+00,2.48E-04,7.949219,53.51563,956.5,483,0,01/17/2016 12:21:02 ,40.43061066,-3.55361104,4,211
1,39,01/17/2016 12:14:35 ,0,2,1,3.33E-01,0.00E+00,1.33E-04,2,3.66E-01,0.00E+00,-1.47E-04,3,2.79E-01,0.00E+00,1.12E-04,4,3.50E-01,0.00E+00,-1.40E-04,5,4.24E-01,0.00E+00,1.69E-04,6,2.86E-01,0.00E+00,1.14E-04,Resultant,4.18E-01,0.00E+00,1.67E-04,8.070313,53.02734,956.2,486,0,01/17/2016 12:23:02 ,40.4311676,-3.553333282,6,347
1,40,01/17/2016 12:16:35 ,0,2,1,4.12E-01,0.00E+00,1.65E-04,2,3.55E-01,0.00E+00,1.42E-04,3,3.34E-01,0.00E+00,-1.34E-04,4,3.66E-01,0.00E+00,-1.46E-04,5,4.00E-01,0.00E+00,1.60E-04,6,3.85E-01,0.00E+00,-1.54E-04,Resultant,5.46E-01,0.00E+00,2.18E-04,8.148438,54.28516,956.4,484,255,01/17/2016 12:24:07 ,40.42883301,-3.554055452,31,207
1,41,01/17/2016 12:18:35 ,0,2,1,3.52E-01,0.00E+00,1.41E-04,2,3.64E-01,0.00E+00,-1.46E-04,3,3.32E-01,0.00E+00,-1.33E-04,4,3.11E-01,0.00E+00,1.24E-04,5,3.34E-01,0.00E+00,1.34E-04,6,2.93E-01,0.00E+00,1.17E-04,Resultant,4.53E-01,0.00E+00,1.81E-04,8.308594,55.375,956.3,485,,,,,,
1,42,01/17/2016 12:20:35 ,0,2,1,3.29E-01,0.00E+00,1.31E-04,2,3.17E-01,0.00E+00,-1.27E-04,3,2.83E-01,0.00E+00,-1.13E-04,4,4.19E-01,0.00E+00,-1.67E-04,5,3.04E-01,0.00E+00,-1.22E-04,6,3.21E-01,0.00E+00,1.28E-04,Resultant,4.14E-01,0.00E+00,1.65E-04,8.46875,55.39844,956.5,483,,,,,,
1,43,01/17/2016 12:22:35 ,0,2,1,3.01E-01,0.00E+00,1.20E-04,2,3.77E-01,0.00E+00,-1.51E-04,3,3.26E-01,0.00E+00,-1.30E-04,4,3.79E-01,0.00E+00,-1.51E-04,5,4.24E-01,0.00E+00,1.70E-04,6,3.03E-01,0.00E+00,-1.21E-04,Resultant,5.52E-01,0.00E+00,2.21E-04,8.671875,55.22266,956.4,484,,,,,,
1,44,01/17/2016 12:24:35 ,0,2,1,3.32E-01,0.00E+00,1.33E-04,2,3.62E-01,0.00E+00,1.45E-04,3,3.13E-01,0.00E+00,-1.25E-04,4,3.95E-01,0.00E+00,1.58E-04,5,2.84E-01,0.00E+00,-1.14E-04,6,3.55E-01,0.00E+00,-1.42E-04,Resultant,4.44E-01,0.00E+00,1.77E-04,8.871094,54.89453,956.4,484,,,,,,
1,45,01/17/2016 12:26:35 ,0,2,1,3.36E-01,0.00E+00,-1.34E-04,2,3.34E-01,0.00E+00,-1.33E-04,3,3.73E-01,0.00E+00,-1.49E-04,4,3.61E-01,0.00E+00,1.44E-04,5,3.57E-01,0.00E+00,1.43E-04,6,3.00E-01,0.00E+00,-1.20E-04,Resultant,5.06E-01,0.00E+00,2.02E-04,8.949219,54.28516,956.2,486,,,,,,
1,46,01/17/2016 12:28:35 ,0,2,1,4.10E-01,0.00E+00,-1.64E-04,2,3.31E-01,0.00E+00,1.32E-04,3,2.72E-01,0.00E+00,-1.09E-04,4,3.91E-01,0.00E+00,-1.56E-04,5,3.88E-01,0.00E+00,1.55E-04,6,3.06E-01,0.00E+00,-1.23E-04,Resultant,4.30E-01,0.00E+00,1.72E-04,9.03125,54.02734,956.2,486,,,,,,
1,47,01/17/2016 12:30:35 ,0,2,1,3.70E-01,0.00E+00,1.48E-04,2,3.40E-01,0.00E+00,1.36E-04,3,3.35E-01,0.00E+00,-1.34E-04,4,3.37E-01,0.00E+00,1.35E-04,5,4.56E-01,0.00E+00,-1.83E-04,6,3.25E-01,0.00E+00,-1.30E-04,Resultant,4.28E-01,0.00E+00,1.71E-04,9.070313,53.70703,956.3,485,,,,,,
1,48,01/17/2016 12:32:35 ,0,2,1,3.82E-01,0.00E+00,-1.53E-04,2,3.04E-01,0.00E+00,1.22E-04,3,3.24E-01,0.00E+00,1.30E-04,4,3.59E-01,0.00E+00,-1.44E-04,5,2.42E-01,0.00E+00,9.69E-05,6,3.63E-01,0.00E+00,1.45E-04,Resultant,4.59E-01,0.00E+00,1.84E-04,9.109375,53.47266,956.2,486,,,,,,
1,49,01/17/2016 12:34:35 ,0,2,1,3.34E-01,0.00E+00,-1.34E-04,2,3.56E-01,0.00E+00,1.43E-04,3,2.92E-01,0.00E+00,1.17E-04,4,4.11E-01,0.00E+00,-1.64E-04,5,4.03E-01,0.00E+00,1.61E-04,6,3.75E-01,0.00E+00,1.50E-04,Resultant,4.81E-01,0.00E+00,1.92E-04,9.109375,53.32422,956,488,,,,,,
1,50,01/17/2016 12:36:35 ,0,2,1,3.42E-01,0.00E+00,-1.37E-04,2,3.92E-01,0.00E+00,1.57E-04,3,3.34E-01,0.00E+00,1.33E-04,4,3.60E-01,0.00E+00,1.44E-04,5,3.31E-01,0.00E+00,-1.33E-04,6,3.09E-01,0.00E+00,-1.24E-04,Resultant,6.04E-01,0.00E+00,2.42E-04,9.191406,53.21484,956,488,,,,,,
1,51,01/17/2016 12:38:35 ,0,2,1,2.90E-01,0.00E+00,-1.16E-04,2,3.58E-01,0.00E+00,-1.43E-04,3,3.11E-01,0.00E+00,-1.24E-04,4,4.34E-01,0.00E+00,1.74E-04,5,3.24E-01,0.00E+00,1.30E-04,6,3.45E-01,0.00E+00,-1.38E-04,Resultant,4.21E-01,0.00E+00,1.68E-04,9.191406,53.125,956,488,,,,,,
1,52,01/17/2016 12:40:35 ,0,2,1,3.17E-01,0.00E+00,1.27E-04,2,4.08E-01,0.00E+00,1.63E-04,3,3.00E-01,0.00E+00,-1.20E-04,4,3.89E-01,0.00E+00,-1.56E-04,5,3.71E-01,0.00E+00,-1.48E-04,6,3.40E-01,0.00E+00,-1.36E-04,Resultant,4.53E-01,0.00E+00,1.81E-04,9.230469,53.01172,955.9,489,,,,,,
1,53,01/17/2016 12:42:35 ,0,2,1,2.78E-01,0.00E+00,1.11E-04,2,3.72E-01,0.00E+00,1.49E-04,3,3.21E-01,0.00E+00,-1.28E-04,4,3.68E-01,0.00E+00,-1.47E-04,5,3.73E-01,0.00E+00,1.49E-04,6,3.37E-01,0.00E+00,1.35E-04,Resultant,4.34E-01,0.00E+00,1.74E-04,9.230469,52.89063,956.2,486,,,,,,
1,54,01/17/2016 12:44:35 ,0,2,1,3.67E-01,0.00E+00,1.47E-04,2,3.48E-01,0.00E+00,-1.39E-04,3,2.84E-01,0.00E+00,1.13E-04,4,3.60E-01,0.00E+00,-1.44E-04,5,4.00E-01,0.00E+00,1.60E-04,6,3.81E-01,0.00E+00,1.53E-04,Resultant,4.18E-01,0.00E+00,1.67E-04,9.269531,52.86719,956,488,,,,,,
1,55,01/17/2016 12:46:35 ,0,2,1,3.33E-01,0.00E+00,1.33E-04,2,3.30E-01,0.00E+00,1.32E-04,3,2.73E-01,0.00E+00,1.09E-04,4,3.54E-01,0.00E+00,-1.42E-04,5,3.18E-01,0.00E+00,1.27E-04,6,2.70E-01,0.00E+00,-1.08E-04,Resultant,4.05E-01,0.00E+00,1.62E-04,9.308594,52.78516,956,488,,,,,,
1,56,01/17/2016 12:48:35 ,0,2,1,3.00E-01,0.00E+00,1.20E-04,2,3.50E-01,0.00E+00,-1.40E-04,3,3.09E-01,0.00E+00,-1.24E-04,4,3.68E-01,0.00E+00,-1.47E-04,5,3.84E-01,0.00E+00,1.54E-04,6,3.65E-01,0.00E+00,-1.46E-04,Resultant,4.22E-01,0.00E+00,1.69E-04,9.351563,52.66797,955.7,490,,,,,,
1,57,01/17/2016 12:50:35 ,0,2,1,3.48E-01,0.00E+00,-1.39E-04,2,3.76E-01,0.00E+00,-1.50E-04,3,3.34E-01,0.00E+00,1.34E-04,4,3.41E-01,0.00E+00,-1.36E-04,5,3.06E-01,0.00E+00,1.22E-04,6,2.76E-01,0.00E+00,-1.10E-04,Resultant,5.32E-01,0.00E+00,2.13E-04,9.351563,52.60938,955.7,490,,,,,,
